# Time-averaged data for fix 11coord
# TimeStep c_sumcoor11
2000 0.00125
4000 0.0009375
6000 0.00260417
8000 0.006875
10000 0.0053125
12000 0.006875
14000 0.0015625
16000 0
18000 0
20000 0.00333333
22000 0.00239583
24000 0.003125
26000 0.00166667
28000 0.00947917
30000 0.0165625
32000 0.0040625
34000 0
36000 0.00104167
38000 0.00125
40000 0
42000 0
44000 0.00104167
46000 0
48000 0.000208333
50000 0.000729167
52000 0
54000 0.0003125
56000 0
58000 0
60000 0
62000 0
64000 0
66000 0
68000 0
70000 0
72000 0
74000 0
76000 0
78000 0
80000 0
82000 0
84000 0
86000 0
88000 0
90000 0
92000 0
94000 0
96000 0
98000 0
100000 0
